County,FLANA_Score_Pct,ASAL,Teacher_Shortage,Digital_Access
Samburu,51.21,Yes,Severe,Very Low
Mandera,51.95,Yes,Severe,Very Low
Garissa,52.5,Yes,Severe,Very Low
Marsabit,53.8,Yes,Severe,Very Low
Wajir,57.0,Yes,Severe,Very Low
Tana River,57.04,Yes,Severe,Very Low
Turkana,58.42,Yes,Severe,Very Low
West Pokot,59.29,Yes,Severe,Very Low
Lamu,59.82,Yes,Severe,Very Low
Isiolo,60.77,Yes,Severe,Very Low
Migori,61.52,No,Severe,Low
Homa Bay,61.73,No,Severe,Low
Kwale,62.33,No,Severe,Low
Siaya,63.44,No,Severe,Low
Kilifi,64.42,No,Severe,Low
Bungoma,64.47,No,Severe,Low
Kakamega,65.46,No,Severe,Low
